n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,0.9895833333333334,0.9885057471264368
10,3,2,2,0.9895833333333334,0.9885057471264368
10,3,5,4,0.9895833333333334,0.9885057471264368
10,3,5,2,0.9895833333333334,0.9885057471264368
10,5,10,1,0.9895833333333334,0.9885057471264368
10,3,10,1,0.9895833333333334,0.9885057471264368
10,5,2,1,0.9895833333333334,0.9885057471264368
10,3,10,2,0.9895833333333334,0.9885057471264368
10,3,10,4,0.9895833333333334,0.9885057471264368
10,3,5,1,0.9895833333333334,0.9885057471264368
10,3,2,4,0.9895833333333334,0.9885057471264368
20,5,2,1,0.9895833333333334,0.9885057471264368
20,5,10,4,0.9895833333333334,0.9885057471264368
10,5,10,4,0.9791666666666666,0.9772727272727273
10,5,10,2,0.9791666666666666,0.9767441860465116
10,5,5,2,0.9791666666666666,0.9767441860465116
10,5,2,2,0.9791666666666666,0.9767441860465116
30,5,10,1,0.9791666666666666,0.9767441860465116
10,5,5,1,0.9791666666666666,0.9767441860465116
10,5,5,4,0.96875,0.9655172413793104
20,5,5,4,0.96875,0.9655172413793104
20,5,2,4,0.96875,0.9655172413793104
10,5,2,4,0.96875,0.9655172413793104
30,5,10,2,0.96875,0.9647058823529412
20,5,2,2,0.96875,0.9647058823529412
30,5,2,2,0.96875,0.9647058823529412
30,5,5,1,0.96875,0.9647058823529412
30,5,5,2,0.96875,0.9647058823529412
20,5,5,1,0.96875,0.9647058823529412
30,5,2,1,0.96875,0.9647058823529412
20,5,10,1,0.9583333333333334,0.9534883720930233
20,5,10,2,0.9583333333333334,0.9534883720930233
30,5,2,4,0.9583333333333334,0.9523809523809523
30,5,5,4,0.9583333333333334,0.9523809523809523
20,5,5,2,0.9583333333333334,0.9523809523809523
30,5,10,4,0.9583333333333334,0.9523809523809523
20,3,10,2,0.9583333333333334,0.9523809523809523
20,3,2,1,0.9583333333333334,0.9523809523809523
20,3,5,2,0.9583333333333334,0.9523809523809523
20,3,5,1,0.9583333333333334,0.9523809523809523
20,3,2,2,0.9583333333333334,0.9523809523809523
20,3,10,1,0.9583333333333334,0.9523809523809523
30,3,10,4,0.9479166666666666,0.9411764705882353
20,3,10,4,0.9479166666666666,0.9411764705882353
30,3,10,2,0.9479166666666666,0.9411764705882353
30,3,10,1,0.9479166666666666,0.9411764705882353
20,3,2,4,0.9479166666666666,0.9411764705882353
20,3,5,4,0.9479166666666666,0.9411764705882353
30,3,2,2,0.9479166666666666,0.9397590361445783
30,3,5,2,0.9479166666666666,0.9397590361445783
30,3,5,4,0.9375,0.9285714285714286
30,3,2,4,0.9375,0.9285714285714286
30,3,5,1,0.9375,0.926829268292683
30,3,2,1,0.9375,0.926829268292683
